country,id,name
SEHK,177,Jiangsu Expressway Company
SEHK,178,Sa Sa Int'l Holdings Ltd.
SEHK,179,Johnson Electric Holdings Ltd.
SEHK,182,Concord New Energy Group Limited
SEHK,183,CITIC International Financial Holdings Limited
SEHK,186,Grande Holdings
SEHK,188,SW Kingsway Capital Holdings Ltd.
SEHK,189,Dongyue Group Limited
SEHK,190,Hong Kong Construction (Holdings) Ltd.
SEHK,191,Lai Sun Garment (International) Limited
SEHK,193,Capital Estate Limited
SEHK,194,Liu Chong Hing Investment Ltd.
SEHK,196,Honghua Group Limited
SEHK,197,Heng Tai Consumables Group Limited
SEHK,198,SMI Corporation Limited
SEHK,200,Melco International Development Limited
SEHK,201,Magnificent Estates Ltd.
SEHK,202,Interchina Holdings Ltd.
SEHK,203,Denway Motors Limited
SEHK,204,Temujin International Investments Ltd.
SEHK,205,SEEC Media Group Limited
SEHK,207,Hong Kong Parkview Group
SEHK,211,Styland Holdings Ltd.
SEHK,213,National Electronics Holdings Limited
SEHK,215,Hutchison Telecommunications Hong Kong Holdings
SEHK,218,Shenyin Wanguo (HK) Ltd
SEHK,220,Uni-President China Holdings Limited
SEHK,221,LeRoi Holdings Ltd.
SEHK,222,Min Xin Holdings Ltd.
SEHK,223,Kenfair International (Holdings) Ltd.
SEHK,224,Pioneer Global Group Ltd.
SEHK,226,Lippo Limited
SEHK,227,First Shanghai Investments Ltd.
SEHK,228,China Energy Development Holdings Limited
SEHK,230,ONFEM Holdings Ltd.
SEHK,231,Dynamic Global Holdings Ltd.
SEHK,232,CATIC International Holdings Ltd
SEHK,233,"Mingyuan Medicare Development Co., Ltd."
SEHK,236,San Miguel Brewery Hong Kong
SEHK,237,Safety Godown Co. Ltd.
SEHK,238,Lei Shing Hong Ltd.
SEHK,239,Pak Fa Yeow
SEHK,242,Shun Tak Holdings Ltd.
SEHK,243,QPL International Holdings Ltd.
SEHK,244,Sincere Co. Ltd.
SEHK,245,China Seven Star Shopping Ltd.
SEHK,246,Henderson China Holdings Ltd.
SEHK,247,Tsim Sha Tsui Properties Limited
SEHK,248,HKC International Holdings Ltd.
SEHK,250,Sino-i Technology Limited
SEHK,251,S E A Holdings Ltd
SEHK,252,Southeast Asia Properties & Finance Ltd.
