Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.920000,0.920000,0.890000,0.900000,0.886792,6069000
2019-08-06,0.890000,0.900000,0.850000,0.880000,0.867086,5475000
2019-08-07,0.870000,0.920000,0.870000,0.890000,0.876939,2117000
2019-08-08,0.900000,0.920000,0.890000,0.920000,0.906499,2689000
2019-08-09,0.920000,0.920000,0.890000,0.910000,0.896645,1902000
2019-08-12,0.880000,0.890000,0.860000,0.870000,0.862510,1637000
2019-08-13,0.860000,0.870000,0.840000,0.850000,0.842682,2595000
2019-08-14,0.850000,0.870000,0.800000,0.810000,0.803026,4426000
2019-08-15,0.820000,0.820000,0.790000,0.810000,0.803026,2838000
2019-08-16,0.810000,0.810000,0.780000,0.810000,0.803026,10822000
2019-08-19,0.800000,0.820000,0.800000,0.810000,0.803026,9929000
2019-08-20,0.810000,0.830000,0.800000,0.820000,0.812940,33844000
2019-08-21,0.820000,0.860000,0.820000,0.860000,0.852596,7169000
2019-08-22,0.860000,0.860000,0.840000,0.850000,0.842682,2231000
2019-08-23,0.850000,0.860000,0.840000,0.850000,0.842682,2358000
2019-08-26,0.830000,0.840000,0.810000,0.840000,0.832768,5034000
2019-08-27,0.840000,0.850000,0.830000,0.830000,0.822854,2348610
2019-08-28,0.830000,0.860000,0.830000,0.840000,0.832768,4867000
2019-08-29,0.850000,0.860000,0.830000,0.840000,0.832768,3928000
2019-08-30,0.860000,0.860000,0.820000,0.840000,0.832768,6249000
2019-09-02,0.830000,0.840000,0.820000,0.830000,0.822854,3293500
2019-09-03,0.830000,0.850000,0.820000,0.830000,0.822854,10781000
2019-09-04,0.840000,0.850000,0.830000,0.840000,0.832768,6553000
2019-09-05,0.850000,0.860000,0.830000,0.830000,0.822854,3534000
2019-09-06,0.840000,0.850000,0.830000,0.840000,0.832768,3238000
2019-09-09,0.850000,0.860000,0.840000,0.840000,0.832768,6601000
2019-09-10,0.850000,0.860000,0.850000,0.850000,0.842682,1469000
2019-09-11,0.850000,0.880000,0.840000,0.870000,0.862510,1686000
2019-09-12,0.870000,0.870000,0.850000,0.860000,0.852596,1732000
2019-09-13,0.850000,0.860000,0.840000,0.850000,0.842682,4284000
2019-09-16,0.850000,0.860000,0.820000,0.820000,0.812940,5835973
2019-09-17,0.830000,0.850000,0.830000,0.840000,0.832768,6384000
2019-09-18,0.850000,0.870000,0.840000,0.850000,0.842682,6575000
2019-09-19,0.850000,0.850000,0.840000,0.850000,0.842682,2803000
2019-09-20,0.850000,0.850000,0.830000,0.830000,0.822854,30643797
2019-09-23,0.840000,0.850000,0.820000,0.820000,0.812940,12396000
2019-09-24,0.830000,0.830000,0.810000,0.810000,0.803026,11786000
2019-09-25,0.820000,0.820000,0.800000,0.800000,0.793112,5873000
2019-09-26,0.810000,0.830000,0.810000,0.810000,0.803026,18903000
2019-09-27,0.800000,0.840000,0.800000,0.840000,0.832768,9636598
2019-09-30,0.830000,0.840000,0.820000,0.840000,0.832768,1423061
2019-10-02,0.830000,0.840000,0.820000,0.820000,0.812940,343000
2019-10-03,0.840000,0.850000,0.820000,0.840000,0.832768,4061000
2019-10-04,0.830000,0.850000,0.830000,0.830000,0.822854,1473000
2019-10-08,0.830000,0.870000,0.830000,0.860000,0.852596,7546000
2019-10-09,0.840000,0.910000,0.840000,0.880000,0.872424,18869000
2019-10-10,0.870000,0.880000,0.860000,0.880000,0.872424,1303000
2019-10-11,0.870000,0.890000,0.860000,0.870000,0.862510,3373366
2019-10-14,0.870000,0.890000,0.870000,0.870000,0.862510,764000
2019-10-15,0.880000,0.930000,0.870000,0.900000,0.892251,14817000
2019-10-16,0.910000,0.930000,0.900000,0.900000,0.892251,2924000
2019-10-17,0.890000,0.930000,0.880000,0.910000,0.902165,6026000
2019-10-18,0.910000,0.910000,0.890000,0.900000,0.892251,655000
2019-10-21,0.900000,0.900000,0.870000,0.870000,0.862510,1977000
2019-10-22,0.880000,0.880000,0.860000,0.870000,0.862510,2181000
2019-10-23,0.870000,0.890000,0.850000,0.870000,0.862510,2647000
2019-10-24,0.870000,0.880000,0.860000,0.870000,0.862510,1504000
2019-10-25,0.870000,0.870000,0.840000,0.850000,0.842682,6896000
2019-10-28,0.850000,0.890000,0.850000,0.880000,0.872424,2664000
2019-10-29,0.880000,0.890000,0.860000,0.880000,0.872424,2165000
2019-10-30,0.890000,0.900000,0.870000,0.900000,0.892251,2356000
2019-10-31,0.900000,0.900000,0.870000,0.880000,0.872424,2155050
2019-11-01,0.880000,0.880000,0.870000,0.880000,0.872424,7204000
2019-11-04,0.880000,0.890000,0.870000,0.870000,0.862510,5697000
2019-11-05,0.890000,0.900000,0.880000,0.890000,0.882338,7543997
2019-11-06,0.880000,0.890000,0.870000,0.880000,0.872424,2587000
2019-11-07,0.880000,0.900000,0.870000,0.890000,0.882338,4915000
2019-11-08,0.900000,0.920000,0.890000,0.900000,0.892251,7078827
2019-11-11,0.900000,0.910000,0.870000,0.880000,0.872424,6063010
2019-11-12,0.880000,0.900000,0.870000,0.880000,0.872424,12471000
2019-11-13,0.880000,0.880000,0.840000,0.860000,0.852596,11379000
2019-11-14,0.840000,0.860000,0.830000,0.840000,0.832768,4145000
2019-11-15,0.840000,0.850000,0.810000,0.840000,0.832768,6701000
2019-11-18,0.870000,0.870000,0.820000,0.840000,0.832768,5817000
2019-11-19,0.820000,0.840000,0.820000,0.830000,0.822854,6452000
2019-11-20,0.820000,0.840000,0.820000,0.840000,0.832768,4994000
2019-11-21,0.830000,0.840000,0.820000,0.830000,0.822854,2168000
2019-11-22,0.820000,0.830000,0.820000,0.830000,0.822854,2471000
2019-11-25,0.830000,0.840000,0.820000,0.830000,0.822854,3181000
2019-11-26,0.840000,0.840000,0.820000,0.830000,0.822854,5191000
2019-11-27,0.830000,0.910000,0.820000,0.900000,0.892251,33722000
2019-11-28,0.900000,0.910000,0.860000,0.870000,0.862510,9469000
2019-11-29,0.870000,0.890000,0.860000,0.880000,0.872424,4256000
2019-12-02,0.870000,0.880000,0.870000,0.880000,0.872424,2124000
2019-12-03,0.870000,0.880000,0.860000,0.870000,0.862510,2734000
2019-12-04,0.870000,0.870000,0.850000,0.870000,0.862510,3431009
2019-12-05,0.870000,0.870000,0.830000,0.840000,0.832768,6313000
2019-12-06,0.840000,0.860000,0.840000,0.840000,0.832768,2462000
2019-12-09,0.840000,0.840000,0.820000,0.830000,0.830000,2414000
2019-12-10,0.820000,0.830000,0.820000,0.820000,0.820000,1868000
2019-12-11,0.820000,0.820000,0.810000,0.810000,0.810000,2435000
2019-12-12,0.810000,0.830000,0.810000,0.830000,0.830000,2711000
2019-12-13,0.840000,0.850000,0.830000,0.850000,0.850000,3873000
2019-12-16,0.840000,0.860000,0.840000,0.840000,0.840000,2899000
2019-12-17,0.850000,0.860000,0.840000,0.860000,0.860000,3107000
2019-12-18,0.850000,0.860000,0.830000,0.840000,0.840000,4764000
2019-12-19,0.840000,0.850000,0.830000,0.840000,0.840000,2269000
